Date,AUD,CAD,JPY
2022-01-26,1.396882,1.26159,113.875
2022-01-27,1.403903,1.26585,114.721001
2022-01-28,1.421363,1.27457,115.351997
2022-01-31,1.42898,1.27591,115.262001
2022-02-01,1.414767,1.27174,115.121002
2022-02-02,1.40174,1.26896,114.736
2022-02-03,1.404337,1.26864,114.382004
2022-02-04,1.39958,1.26785,114.957001
2022-02-07,1.41237,1.27453,115.223999
2022-02-08,1.402525,1.26656,115.063004
2022-02-09,1.3994,1.27054,115.530998
2022-02-10,1.39326,1.26761,115.601997
2022-02-11,1.396317,1.2732,116.046997
2022-02-14,1.39962,1.27235,115.584
2022-02-15,1.402112,1.27286,115.536003
2022-02-16,1.39878,1.27237,115.635002
2022-02-17,1.38995,1.26954,115.387001
2022-02-18,1.39095,1.27048,114.865997
2022-02-21,1.39437,1.27566,114.960999
2022-02-22,1.391885,1.2756,114.609001
2022-02-23,1.38372,1.27671,115.096001
2022-02-24,1.383509,1.27339,114.898003
2022-02-25,1.396609,1.28095,115.570999
2022-02-28,1.3915,1.27552,115.584999
2022-03-01,1.377031,1.26665,115.078003
2022-03-02,1.37714,1.27235,114.833
2022-03-03,1.3711,1.26461,115.518997
2022-03-04,1.362955,1.26703,115.473999
2022-03-07,1.3523,1.27141,114.949997
2022-03-08,1.364536,1.28014,115.373001
2022-03-09,1.37591,1.2889,115.722
2022-03-10,1.366699,1.27985,115.908997
2022-03-11,1.357589,1.27559,116.179001
2022-03-14,1.37052,1.27354,117.528999
2022-03-15,1.38914,1.28211,118.218002
2022-03-16,1.390627,1.27688,118.292
2022-03-17,1.371968,1.26868,118.870003
2022-03-18,1.35483,1.26316,118.486
2022-03-21,1.34953,1.26058,119.263
2022-03-22,1.35212,1.2588,119.594002
2022-03-23,1.340069,1.25828,121.339996
2022-03-24,1.33348,1.25592,121.126999
2022-03-25,1.3308,1.25204,122.346001
2022-03-28,1.3301,1.24871,122.269997
2022-03-29,1.333422,1.25182,123.660004
2022-03-30,1.33073,1.24979,123.125
2022-03-31,1.3328,1.24823,122.021004
2022-04-01,1.33477,1.24985,121.755997
2022-04-04,1.33574,1.25265,122.610001
2022-04-05,1.325574,1.24862,122.808998
2022-04-06,1.31827,1.24844,123.655998
2022-04-07,1.33243,1.25638,123.723
2022-04-08,1.33717,1.25867,124.096001
2022-04-11,1.34291,1.2576,124.385002
2022-04-12,1.34856,1.26401,125.472
2022-04-13,1.341382,1.26344,125.416
2022-04-14,1.342012,1.25662,125.376999
2022-04-15,1.3495,1.2603,126.179001
2022-04-18,1.35248,1.2615,126.617996
2022-04-19,1.35914,1.26002,127.098
2022-04-20,1.35245,1.26037,129.332993
2022-04-21,1.342823,1.24862,128.013
2022-04-22,1.35849,1.25891,128.408005
2022-04-25,1.3818,1.2721,128.604996
2022-04-26,1.393049,1.27356,127.744003
2022-04-27,1.399384,1.28061,127.265999
2022-04-28,1.40337,1.2814,128.393997
2022-04-29,1.4067,1.28046,130.811005
2022-05-02,1.41535,1.2853,130.011002
2022-05-03,1.418239,1.2874,130.112
2022-05-04,1.4077,1.28338,130.115997
2022-05-05,1.378759,1.27372,129.223007
2022-05-06,1.404297,1.2827,130.330002
2022-05-09,1.419044,1.29182,130.748993
2022-05-10,1.43732,1.30084,130.376999
2022-05-11,1.441753,1.30312,130.350998
2022-05-12,1.443522,1.29944,129.835007
2022-05-13,1.4552,1.30231,128.587997
2022-05-16,1.43964,1.2907,129.432007
2022-05-17,1.43414,1.285,128.923004
2022-05-18,1.4219,1.28081,129.453995
2022-05-19,1.436988,1.28842,127.914001
2022-05-20,1.420152,1.28196,127.832001
2022-05-23,1.41585,1.2812,127.903
2022-05-24,1.41064,1.27871,127.846001
2022-05-25,1.407816,1.28224,126.768997
2022-05-26,1.410557,1.28202,127.152
2022-05-27,1.40869,1.2773,127.044998
2022-05-30,1.3961,1.27237,127.285004
2022-05-31,1.389815,1.26552,127.783997
2022-06-01,1.39225,1.2639,128.735992
2022-06-02,1.394,1.26653,130.121994
2022-06-03,1.375705,1.25698,129.917999
2022-06-06,1.38794,1.25849,130.707001
2022-06-07,1.39109,1.258,132.175995
2022-06-08,1.384926,1.25366,132.847
2022-06-09,1.3915,1.2552,134.429993
2022-06-10,1.40881,1.27027,134.417999
2022-06-13,1.42485,1.27976,134.813995
2022-06-14,1.44059,1.289,134.225006
2022-06-15,1.4514,1.29448,135.294006
2022-06-16,1.42513,1.28734,134.115005
2022-06-17,1.420354,1.29538,132.421005
2022-06-20,1.438228,1.30005,135.276001
2022-06-21,1.434823,1.29818,135.087006
2022-06-22,1.43641,1.29319,136.268997
2022-06-23,1.44818,1.29638,136.024002
2022-06-24,1.44854,1.29871,134.839996
2022-06-27,1.44022,1.28971,135.061996
2022-06-28,1.44456,1.2869,135.434998
2022-06-29,1.448352,1.2873,136.046997
2022-06-30,1.45339,1.28833,136.589005
2022-07-01,1.44978,1.28737,135.785995
2022-07-04,1.46718,1.2886,135.042999
2022-07-05,1.4548,1.28573,135.839996
2022-07-06,1.47206,1.30348,135.520996
2022-07-07,1.473622,1.3034,135.966003
2022-07-08,1.460067,1.2966,135.912994
2022-07-11,1.46075,1.2947,136.300995
2022-07-12,1.48295,1.29948,137.388
2022-07-13,1.48214,1.30313,136.725998
2022-07-14,1.485376,1.30009,137.628006
2022-07-15,1.48041,1.3108,138.966995
2022-07-18,1.4674,1.30094,138.313995
2022-07-19,1.468386,1.29813,138.229004
2022-07-20,1.4497,1.28709,138.190994
2022-07-21,1.45193,1.2883,138.395004
2022-07-22,1.444481,1.2878,137.098007
2022-07-25,1.44829,1.29246,136.311996
2022-07-26,1.4386,1.28507,136.431
2022-07-27,1.43939,1.28737,136.970001
2022-07-28,1.429613,1.28171,136.110992
2022-07-29,1.4284,1.2807,134.397003
2022-08-01,1.43209,1.28149,133.054001
