Date,AUD,CAD,JPY,pnl,signal
2021-08-02,1.36197,1.24667,109.706001,-0.0,0
2021-08-03,1.358585,1.25011,109.268997,-0.0,0
2021-08-04,1.351936,1.25333,108.990997,0.0,0
2021-08-05,1.354463,1.2545,109.528999,0.0,0
2021-08-06,1.350804,1.25013,109.751999,0.0,0
2021-08-09,1.3628,1.25709,110.259003,0.0,0
2021-08-10,1.36407,1.25738,110.306,0.0,0
2021-08-11,1.361693,1.2519,110.598,0.0,0
2021-08-12,1.3561,1.25068,110.374001,0.0,0
2021-08-13,1.36212,1.252,110.403,0.0,0
2021-08-16,1.35764,1.2516,109.624001,0.0,0
2021-08-17,1.3622,1.25696,109.296997,0.0,0
2021-08-18,1.378246,1.26265,109.537003,0.0,0
2021-08-19,1.382935,1.26631,109.842003,0.0,0
2021-08-20,1.399345,1.28313,109.767998,0.0,0
2021-08-23,1.4006,1.2826,109.839996,0.0,0
2021-08-24,1.38704,1.2651,109.678001,0.0,0
2021-08-25,1.379539,1.2596,109.730003,0.0,0
2021-08-26,1.374268,1.25887,109.975998,0.0,0
2021-08-27,1.381521,1.26849,110.047997,10604.056788667604,1
2021-08-30,1.36687,1.2611,109.864998,10604.056788667604,0
2021-08-31,1.37151,1.26089,109.944,16555.725409970855,1
2021-09-01,1.366512,1.26161,110.056,16555.725409970855,0
2021-09-02,1.35722,1.26217,110.096001,16555.725409970855,0
2021-09-03,1.351479,1.25518,109.945,16555.725409970855,0
2021-09-06,1.34318,1.25303,109.764,16555.725409970855,0
2021-09-07,1.34468,1.25343,109.82,16555.725409970855,0
2021-09-08,1.353803,1.26464,110.295998,16555.725409970855,0
2021-09-09,1.358,1.2694,110.218002,16555.725409970855,0
2021-09-10,1.3567,1.26626,109.780998,16555.725409970855,0
2021-09-13,1.3572,1.26795,109.915001,16555.725409970855,0
2021-09-14,1.357607,1.2648,109.994003,16555.725409970855,0
2021-09-15,1.366662,1.269,109.719002,16555.725409970855,0
2021-09-16,1.362175,1.26181,109.383003,16555.725409970855,0
2021-09-17,1.37146,1.26815,109.698997,16555.725409970855,0
2021-09-20,1.37665,1.2764,109.971001,25615.4436574767,1
2021-09-21,1.377467,1.28024,109.436996,25615.4436574767,0
2021-09-22,1.383509,1.28208,109.149002,25615.4436574767,0
2021-09-23,1.382361,1.27859,109.821999,25615.4436574767,0
2021-09-24,1.3699,1.2662,110.325996,23880.975035590833,1
2021-09-27,1.37625,1.26494,110.764,23880.975035590833,0
2021-09-28,1.373513,1.26262,110.963997,23880.975035590833,0
2021-09-29,1.3804,1.2677,111.528,31375.391973132104,1
2021-09-30,1.392758,1.27538,111.935997,44691.56365322613,1
2021-10-01,1.3829,1.2684,111.460999,55610.50842089976,1
2021-10-04,1.37453,1.2625,110.946999,55610.50842089976,0
2021-10-05,1.371799,1.25898,110.968002,55610.50842089976,0
2021-10-06,1.3716,1.25827,111.487,55610.50842089976,0
2021-10-07,1.37336,1.25862,111.413002,55610.50842089976,0
2021-10-08,1.366718,1.2547,111.662003,55610.50842089976,0
2021-10-11,1.37082,1.24841,112.269997,55610.50842089976,0
2021-10-12,1.36084,1.24804,113.388,55610.50842089976,0
